Chromosome,Fitness,kP,kI,kD
001000010011100011001011110001110101100000101111101101000001100100111010111010001100011010110101,0.2273366695936948,0.1297728882636875,0.34447789774276316,0.23011438292451203
011011001100011111011000101010010111101000001100011000110010111110111111001110111111000101111111,0.29567640840570697,0.42492441297508776,0.476751517271623,0.7470084128435701
111011000011101110010111000101000100000101000010011111010101010000000110110000001000001110100001,0.7065114801769121,0.9227842735126615,0.254920800216496,0.026375033194199204
111010110000100100111100001110111001011011110010111001001010100100011010110110000011110000011011,0.6645638347171622,0.918109669117257,0.5896437561605126,0.1048619810026139
010111100001011001100011001000100011110100101010011101101011110101001111110011111000011111110111,0.29810758516837954,0.36752910213544965,0.23892919649370015,0.31176042347215116
001110111110011010111000100001110010101001111101111010011000100101110100001110000001001101010100,0.18324684217011275,0.23398927017115057,0.16598376841284335,0.4539806442335248
011100001101011110010001101010100111111101100010010100000100011100011110001001000011110010111100,0.5857325055872981,0.44078932190313935,0.49759389623068273,0.11774043645709753
001110110100110100001000100111010101010110000000010011110001000101001001111101000001000001100001,0.3393884369389641,0.23164419014938176,0.3339890877250582,0.28888037079013884
011111100111111111011100000101110101010011100000101001010110101101100000010111000100011010111010,0.29963222723328586,0.4941384845878929,0.3315528284292668,0.376408024225384
100101100011100101110110011011110000100011100101111001010010110001001010111011101111001110110010,0.4034141868469186,0.5868143101688474,0.034757922403514385,0.29270861716941
111101001111110100011010110000011110011011010101110001011001101001011010001010100001110011000011,0.5174356913892665,0.9569870682898909,0.9016994000412524,0.3522050834726542
011110011101001000001110011110011101010100000010010110110111000011110011101001110001011110001110,0.33380573372383926,0.47586145834065974,0.8320672176778316,0.9517683717422187
110101111001111100111001000101001101111100001000101101101001011110001000000110110001100001010010,0.3407438743073546,0.8422732995823026,0.8712267035152763,0.5316634369082749
110111011111010100000001000110101000001111010110010010000010100001011010111010000010110000011110,0.48365265744953656,0.867019718978554,0.5149884317070246,0.3551051686517894
111001101010010010011111000010010100011101010010010011000111101111001100111011110011101110100111,0.2740444962280852,0.9009494206402451,0.2785995292942971,0.8005254061426967
000100111101111110001010111110100100100110101111100000010110110101110110110101000100100000011011,0,0.07762974360957742,0.2878342524636537,0.4641766611021012
110110101101010011101101011000000110001001010000100110001100011100011000110001001010011100100011,0.657114283690007,0.8548115119338036,0.38404230936430395,0.09675068478100002
110000110011010100110011000101001000010010001110101101110011010101011100010111000101101111100101,0.43251066554217543,0.7625305103138089,0.517802668036893,0.36078428593464196
001000010011100011001011110001110101100000101111101101000001100100111010111010001100011110110101,0.21986476880220499,0.1297728882636875,0.34447789774276316,0.2301144425291568
011011001100011111011000101010010111101000001100011000100010111110111111001110111111000101111111,0.2974182445269378,0.42492441297508776,0.47675145766697824,0.7470084128435701
111011000001101110010111000101000100000101000010011111010001010000000110110000001000001110100001,0.7020139800227276,0.9222959922626615,0.2549207853153348,0.026375033194199204
101110111100100101100101010100101011011000000100000010101101001000111111111011110011110111101100,0.5325131321346849,0.7335418057627976,0.7109991800971329,0.2497442914173007
110011011010001000101100100101011110101000011100111010111010011100110011101110010001100010100100,0.5688906957229268,0.803255831124261,0.9145037920679897,0.20204309467226267
111010110000100100111100001110111011011011110010111001001010100100011010110110000011110000011011,0.6576562471776778,0.918109669117257,0.7146437561605126,0.1048619810026139
